post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_datetime,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,followers_gained,caption_length,hashtags_count,performance_bucket_label,engagement_rate,total_engagement,follower_growth_rate,impression_reach_ratio
IG0000014,12,creator,13798,image,Food,Reels Feed,1,13-04-2025 13:00,13-04-2025,13,Sunday,183,6,10,21,3997,6107,792,123,9,high,5.504128096,220,5.739962313,1.527895922
IG0000015,6,brand,10034,reel,Lifestyle,Home Feed,1,16-03-2025 11:00,16-03-2025,11,Sunday,333,10,15,48,5240,6377,808,124,6,viral,7.748091603,406,8.052621088,1.216984733
IG0000016,2,creator,22291,reel,Music,Hashtags,1,06-12-2024 18:00,06-12-2024,18,Friday,271,8,13,47,5981,8127,752,123,8,high,5.667948504,339,3.373558835,1.358802876
IG0000017,1,creator,9461,image,Travel,External,0,11-07-2025 20:00,11-07-2025,20,Friday,138,1,4,18,4489,5263,920,133,8,medium,3.586544888,161,9.724130642,1.172421475
IG0000018,12,creator,13798,carousel,Beauty,Home Feed,0,08-01-2025 11:00,08-01-2025,11,Wednesday,261,5,16,35,6267,9464,923,119,14,medium,5.058241583,317,6.689375272,1.51013244
IG0000019,12,creator,13798,image,Lifestyle,External,0,20-06-2025 06:00,20-06-2025,6,Friday,120,9,5,24,8187,11264,892,107,4,low,1.929888848,158,6.46470503,1.375839746
IG0000020,17,brand,15923,carousel,Travel,External,0,13-06-2025 04:00,13-06-2025,4,Friday,39,0,2,7,3345,4755,216,135,2,low,1.434977578,48,1.356528292,1.421524664
IG0000021,10,creator,4542,image,Music,External,0,11-02-2025 14:00,11-02-2025,14,Tuesday,303,0,12,52,3950,5435,87,115,11,viral,9.291139241,367,1.915455746,1.375949367
IG0000022,16,creator,9696,reel,Fashion,Reels Feed,0,04-10-2025 15:00,04-10-2025,15,Saturday,444,17,24,63,9965,13354,742,129,12,high,5.499247366,548,7.652640264,1.340090316
IG0000023,15,creator,8167,carousel,Photography,Home Feed,0,26-02-2025 10:00,26-02-2025,10,Wednesday,1946,52,96,264,29461,45796,311,103,6,high,8.003801636,2358,3.808007836,1.554461831
IG0000024,15,creator,8167,image,Lifestyle,Profile,1,20-03-2025 19:00,20-03-2025,19,Thursday,78,2,2,11,4093,6214,64,111,8,low,2.272172001,93,0.783641484,1.518201808
IG0000025,19,creator,3447,carousel,Comedy,Profile,1,08-05-2025 16:00,08-05-2025,16,Thursday,68,2,2,7,3610,4454,394,109,8,low,2.188365651,79,11.43022918,1.233795014
IG0000026,12,brand,13798,carousel,Fashion,Hashtags,0,18-02-2025 05:00,18-02-2025,5,Tuesday,392,9,27,51,4994,6583,243,128,10,viral,9.591509812,479,1.761124801,1.318181818
IG0000027,20,creator,31095,carousel,Photography,Reels Feed,0,29-11-2024 19:00,29-11-2024,19,Friday,843,24,42,117,17491,26749,925,133,4,medium,5.865873878,1026,2.974754784,1.529300783
IG0000028,3,creator,10018,carousel,Food,Profile,0,19-10-2025 21:00,19-10-2025,21,Sunday,170,5,8,29,4842,6834,559,117,6,medium,4.378356051,212,5.579956079,1.411400248
IG0000029,5,creator,10739,reel,Technology,Explore,1,01-08-2025 05:00,01-08-2025,5,Friday,76,2,3,3,3605,4679,382,118,13,low,2.330097087,84,3.557128224,1.297919556
IG0000030,19,creator,3447,carousel,Fitness,External,1,26-07-2025 11:00,26-07-2025,11,Saturday,0,5,18,52,8818,10172,286,147,12,medium,0.850533001,75,8.297069916,1.153549558
IG0000031,7,creator,3551,reel,Comedy,Home Feed,0,25-04-2025 19:00,25-04-2025,19,Friday,65,0,10,11,1555,2211,419,106,5,medium,5.530546624,86,11.7994931,1.421864952
IG0000032,9,creator,6916,image,Food,Profile,1,25-05-2025 07:00,25-05-2025,7,Sunday,253,0,16,36,5064,7689,114,101,4,high,6.022906793,305,1.648351648,1.518364929
IG0000033,7,creator,3551,reel,Music,Home Feed,0,17-04-2025 19:00,17-04-2025,19,Thursday,56,4,2,10,3493,4286,882,126,8,low,2.061265388,72,24.83807378,1.22702548
IG0000034,18,creator,7486,carousel,Food,Explore,1,02-09-2025 04:00,02-09-2025,4,Tuesday,836,21,40,132,12648,19638,888,123,9,high,8.135673624,1029,11.86214267,1.552656546
IG0000035,4,creator,4972,image,Technology,External,1,14-07-2025 20:00,14-07-2025,20,Monday,104,3,5,17,2063,2340,916,95,6,high,6.253029569,129,18.42316975,1.13427048
IG0000036,14,brand,3083,reel,Music,Explore,0,02-02-2025 10:00,02-02-2025,10,Sunday,607,22,31,78,10668,14021,861,116,8,high,6.917885264,738,27.9273435,1.314304462
IG0000037,18,creator,7486,reel,Comedy,Reels Feed,0,01-12-2024 01:00,01-12-2024,1,Sunday,0,6,14,42,15570,17200,336,114,5,low,0.39820167,62,4.488378306,1.104688504
IG0000038,9,creator,6916,carousel,Technology,Reels Feed,0,08-11-2025 07:00,08-11-2025,7,Saturday,12,0,0,2,623,845,311,110,6,low,2.247191011,14,4.496818971,1.356340289
IG0000039,2,creator,22291,image,Travel,External,1,11-04-2025 07:00,11-04-2025,7,Friday,927,21,47,151,17275,21598,621,130,9,high,6.633863965,1146,2.785877708,1.25024602
IG0000040,20,brand,31095,image,Fitness,Hashtags,0,10-07-2025 07:00,10-07-2025,7,Thursday,197,0,7,36,7200,11331,907,111,7,low,3.333333333,240,2.916867664,1.57375
IG0000041,15,brand,8167,image,Comedy,External,1,25-11-2024 16:00,25-11-2024,16,Monday,332,9,13,44,7259,10099,359,142,10,high,5.482848877,398,4.395738949,1.391238463
IG0000042,7,creator,3551,image,Travel,Explore,1,24-01-2025 06:00,24-01-2025,6,Friday,162,2,4,25,4726,6342,184,124,10,medium,4.08379179,193,5.181638975,1.341938214
IG0000043,12,creator,13798,reel,Photography,Reels Feed,0,21-10-2025 02:00,21-10-2025,2,Tuesday,36,1,2,10,2191,3085,872,125,10,low,2.236421725,49,6.319756486,1.408032862
IG0000044,8,brand,15986,carousel,Comedy,Reels Feed,1,09-06-2025 00:00,09-06-2025,0,Monday,182,10,11,18,2994,4780,409,93,2,high,7.381429526,221,2.558488678,1.596526386
IG0000045,15,creator,8167,image,Photography,External,0,28-06-2025 04:00,28-06-2025,4,Saturday,796,17,36,120,11931,14927,419,141,8,viral,8.121699774,969,5.130402841,1.251110552
IG0000046,3,brand,10018,reel,Music,Profile,0,29-07-2025 15:00,29-07-2025,15,Tuesday,380,11,18,50,4926,7384,924,104,5,viral,9.317904994,459,9.223397884,1.498984978
IG0000047,14,creator,3083,image,Travel,Hashtags,0,17-05-2025 03:00,17-05-2025,3,Saturday,114,1,4,13,1634,2605,49,128,5,high,8.078335373,132,1.589361012,1.594247246
IG0000048,17,creator,15923,carousel,Fitness,Home Feed,1,08-12-2024 14:00,08-12-2024,14,Sunday,133,2,12,18,2230,3232,335,131,10,high,7.399103139,165,2.103874898,1.449327354
IG0000049,4,creator,4972,carousel,Technology,External,0,23-07-2025 22:00,23-07-2025,22,Wednesday,109,1,8,12,3106,3478,885,115,11,medium,4.185447521,130,17.7996782,1.119768191
IG0000050,18,creator,7486,reel,Beauty,External,1,15-04-2025 16:00,15-04-2025,16,Tuesday,149,1,6,26,5481,7116,370,144,10,medium,3.320561941,182,4.942559444,1.298303229
IG0000051,8,brand,15986,reel,Food,Reels Feed,1,12-03-2025 16:00,12-03-2025,16,Wednesday,166,3,9,27,3436,4009,426,122,6,high,5.966239814,205,2.664831728,1.166763679
IG0000052,4,brand,4972,reel,Fashion,Hashtags,0,15-10-2025 12:00,15-10-2025,12,Wednesday,28,2,2,8,2301,3165,870,120,8,low,1.73837462,40,17.49798874,1.375488918
IG0000053,2,creator,22291,image,Fitness,External,1,09-05-2025 23:00,09-05-2025,23,Friday,336,12,14,47,5113,7017,514,108,6,viral,7.99921768,409,2.305863353,1.372384119
IG0000054,6,creator,10034,image,Travel,Profile,0,22-04-2025 10:00,22-04-2025,10,Tuesday,273,8,17,41,12214,18325,947,129,9,low,2.775503521,339,9.437911102,1.500327493
IG0000055,10,brand,4542,carousel,Beauty,External,0,19-02-2025 15:00,19-02-2025,15,Wednesday,154,5,8,23,4566,5996,637,115,6,medium,4.161191415,190,14.02465874,1.313184406
IG0000056,4,creator,4972,reel,Fitness,External,0,23-07-2025 03:00,23-07-2025,3,Wednesday,96,1,4,12,2577,3508,576,130,5,medium,4.384943733,113,11.5848753,1.361272798
IG0000057,18,creator,7486,carousel,Travel,Home Feed,1,21-04-2025 14:00,21-04-2025,14,Monday,179,3,10,21,2743,3141,621,103,13,viral,7.765220561,213,8.295484905,1.14509661
IG0000058,12,creator,13798,image,Lifestyle,Reels Feed,0,15-02-2025 11:00,15-02-2025,11,Saturday,88,3,4,15,5256,7887,669,134,6,low,2.092846271,110,4.848528772,1.500570776
IG0000059,2,creator,22291,reel,Lifestyle,External,0,11-02-2025 13:00,11-02-2025,13,Tuesday,89,0,3,18,2450,3197,685,127,9,medium,4.489795918,110,3.072989099,1.304897959
IG0000060,10,brand,4542,reel,Photography,Explore,0,14-10-2025 12:00,14-10-2025,12,Tuesday,25,0,0,6,1249,1645,574,116,10,low,2.481985588,31,12.63760458,1.317053643
IG0000061,4,creator,4972,image,Fitness,Hashtags,0,20-12-2024 08:00,20-12-2024,8,Friday,387,8,18,59,6898,11008,80,111,10,high,6.842563062,472,1.609010459,1.595824877
IG0000062,14,creator,3083,image,Lifestyle,Reels Feed,0,23-08-2025 14:00,23-08-2025,14,Saturday,210,5,14,23,3588,5562,92,127,6,high,7.023411371,252,2.98410639,1.550167224
IG0000063,16,brand,9696,reel,Travel,Profile,1,17-12-2024 15:00,17-12-2024,15,Tuesday,222,13,9,38,3230,4484,718,136,8,viral,8.730650155,282,7.405115512,1.388235294
IG0000064,15,creator,8167,carousel,Photography,Explore,0,20-03-2025 09:00,20-03-2025,9,Thursday,830,20,32,115,17503,23815,493,123,6,high,5.696166371,997,6.036488307,1.360623893
IG0000065,8,creator,15986,image,Travel,Profile,1,27-06-2025 04:00,27-06-2025,4,Friday,305,9,12,42,5675,8748,360,106,6,medium,6.484581498,368,2.251970474,1.541497797
IG0000066,14,brand,3083,image,Photography,Hashtags,1,06-07-2025 10:00,06-07-2025,10,Sunday,611,20,27,89,22054,32271,886,115,8,medium,3.387140655,747,28.73824197,1.463271969
IG0000067,8,creator,15986,carousel,Fitness,External,1,04-07-2025 05:00,04-07-2025,5,Friday,46,1,1,3,3430,4043,335,138,11,low,1.486880466,51,2.095583636,1.178717201
IG0000068,16,creator,9696,carousel,Beauty,Home Feed,1,22-04-2025 10:00,22-04-2025,10,Tuesday,80,1,3,13,1217,1646,524,115,5,viral,7.970419063,97,5.404290429,1.352506163
IG0000069,13,creator,5824,image,Technology,Reels Feed,0,31-12-2024 01:00,31-12-2024,1,Tuesday,112,3,7,20,3818,5470,816,125,6,medium,3.719224725,142,14.01098901,1.432687271
IG0000070,18,brand,7486,reel,Comedy,External,0,17-06-2025 18:00,17-06-2025,18,Tuesday,377,12,18,45,7438,11663,358,151,6,medium,6.076902393,452,4.782260219,1.56802904
IG0000071,15,creator,8167,carousel,Beauty,Reels Feed,0,08-02-2025 22:00,08-02-2025,22,Saturday,222,11,12,38,7073,11199,244,130,6,medium,4.001131062,283,2.987633158,1.583345115
IG0000072,13,creator,5824,carousel,Music,Home Feed,1,09-05-2025 14:00,09-05-2025,14,Friday,56,2,4,11,1464,1925,555,126,2,medium,4.986338798,73,9.529532967,1.31489071
IG0000073,9,creator,6916,carousel,Travel,External,1,26-07-2025 11:00,26-07-2025,11,Saturday,171,0,12,29,5473,6041,228,117,8,medium,3.873561118,212,3.296703297,1.103782204
IG0000074,15,brand,8167,image,Music,External,0,30-10-2025 06:00,30-10-2025,6,Thursday,147,5,6,18,2483,3019,741,110,8,viral,7.088199758,176,9.073099057,1.215867902
IG0000075,13,creator,5824,reel,Beauty,Hashtags,0,23-01-2025 05:00,23-01-2025,5,Thursday,283,8,13,50,5771,8206,215,106,7,high,6.13411887,354,3.691620879,1.421937273
IG0000076,1,brand,9461,image,Photography,Reels Feed,0,12-04-2025 10:00,12-04-2025,10,Saturday,374,20,18,57,6971,8922,145,122,2,high,6.727872615,469,1.532607547,1.279873763
IG0000077,7,creator,3551,carousel,Comedy,Profile,0,29-06-2025 03:00,29-06-2025,3,Sunday,98,2,7,17,5374,6205,974,137,11,low,2.307406029,124,27.42889327,1.15463342
IG0000078,9,creator,6916,carousel,Comedy,Reels Feed,0,14-12-2024 13:00,14-12-2024,13,Saturday,442,14,26,62,13229,17187,73,134,7,medium,4.112177791,544,1.055523424,1.299191171
IG0000079,1,brand,9461,image,Fashion,Explore,0,20-10-2025 09:00,20-10-2025,9,Monday,20,0,1,0,649,927,730,132,11,medium,3.235747304,21,7.71588627,1.42835131
IG0000080,12,creator,13798,carousel,Comedy,Hashtags,0,02-06-2025 14:00,02-06-2025,14,Monday,424,16,14,69,5620,8267,550,133,11,viral,9.306049822,523,3.98608494,1.470996441
IG0000081,8,creator,15986,image,Technology,External,0,21-02-2025 03:00,21-02-2025,3,Friday,304,10,10,46,4974,6248,290,128,8,viral,7.438681142,370,1.814087326,1.256131886
IG0000082,11,creator,9044,carousel,Comedy,Hashtags,0,11-04-2025 12:00,11-04-2025,12,Friday,208,6,11,23,3185,4755,52,105,6,high,7.786499215,248,0.574966829,1.492935636
IG0000083,19,creator,3447,carousel,Beauty,External,0,27-04-2025 07:00,27-04-2025,7,Sunday,103,1,2,19,5072,7960,632,128,6,low,2.464511041,125,18.33478387,1.569400631
IG0000084,17,creator,15923,image,Fashion,Profile,0,26-06-2025 23:00,26-06-2025,23,Thursday,217,8,11,41,3855,5311,214,106,12,high,7.185473411,277,1.343967845,1.37769131
IG0000085,8,brand,15986,carousel,Beauty,Reels Feed,1,03-01-2025 07:00,03-01-2025,7,Friday,264,15,14,44,11942,18409,109,111,7,low,2.821972869,337,0.681846616,1.541534081
IG0000086,3,brand,10018,image,Beauty,Home Feed,0,21-06-2025 12:00,21-06-2025,12,Saturday,549,16,34,76,17769,22997,615,147,3,medium,3.798750633,675,6.13894989,1.294220271
IG0000087,3,creator,10018,image,Food,External,0,09-07-2025 10:00,09-07-2025,10,Wednesday,154,6,9,20,4757,7514,858,120,9,low,3.973092285,189,8.564583749,1.579566954
IG0000088,1,brand,9461,image,Fashion,Reels Feed,0,11-08-2025 04:00,11-08-2025,4,Monday,236,6,9,35,7666,9462,265,138,10,medium,3.730759196,286,2.800972413,1.234281242
IG0000089,5,creator,10739,image,Beauty,Explore,0,12-04-2025 17:00,12-04-2025,17,Saturday,77,1,6,13,2424,3116,550,112,3,medium,4.001650165,97,5.121519695,1.285478548
IG0000090,10,creator,4542,reel,Food,Profile,0,06-03-2025 17:00,06-03-2025,17,Thursday,102,0,5,15,3248,4339,104,122,7,medium,3.756157635,122,2.289740203,1.335899015
IG0000091,7,creator,3551,carousel,Food,Reels Feed,0,02-06-2025 01:00,02-06-2025,1,Monday,859,28,33,132,18959,27322,852,118,12,medium,5.548815866,1052,23.99324134,1.441109763
IG0000092,9,creator,6916,carousel,Fashion,Profile,0,16-06-2025 21:00,16-06-2025,21,Monday,266,8,12,42,3456,4195,749,117,9,viral,9.490740741,328,10.82995951,1.213831019
IG0000093,7,creator,3551,reel,Music,External,1,03-08-2025 14:00,03-08-2025,14,Sunday,198,6,7,17,10770,14676,481,129,9,low,2.116991643,228,13.54548015,1.362674095
IG0000094,9,brand,6916,image,Photography,External,1,30-08-2025 04:00,30-08-2025,4,Saturday,126,4,8,16,1644,2454,859,120,9,viral,9.367396594,154,12.42047426,1.49270073
IG0000095,8,brand,15986,image,Technology,Profile,0,10-09-2025 19:00,10-09-2025,19,Wednesday,103,4,5,12,1815,2446,576,133,9,high,6.831955923,124,3.603152759,1.347658402
IG0000096,12,creator,13798,carousel,Photography,Home Feed,0,01-02-2025 03:00,01-02-2025,3,Saturday,96,3,6,15,4596,6557,682,109,10,low,2.610966057,120,4.942745325,1.42667537
IG0000097,2,creator,22291,carousel,Comedy,External,1,21-11-2024 07:00,21-11-2024,7,Thursday,194,0,4,22,2666,3894,534,118,5,viral,8.252063016,220,2.395585662,1.460615154
IG0000098,1,creator,9461,reel,Technology,Hashtags,0,18-12-2024 17:00,18-12-2024,17,Wednesday,49,0,2,11,2529,3779,914,106,8,low,2.451561882,62,9.660712398,1.494266509
IG0000099,16,brand,9696,image,Comedy,Hashtags,1,31-01-2025 20:00,31-01-2025,20,Friday,86,1,5,13,5064,7357,340,111,13,low,2.073459716,105,3.50660066,1.452804107
IG0000100,5,creator,10739,carousel,Beauty,External,0,21-11-2024 22:00,21-11-2024,22,Thursday,57,0,3,6,2926,4511,335,96,10,low,2.255639098,66,3.119471087,1.541695147
IG0000101,3,creator,10018,carousel,Travel,Home Feed,1,18-02-2025 14:00,18-02-2025,14,Tuesday,58,1,1,10,4662,6162,31,100,7,low,1.501501502,70,0.309443003,1.321750322
IG0000102,12,brand,13798,image,Fashion,Home Feed,0,16-06-2025 11:00,16-06-2025,11,Monday,760,18,48,128,14564,21812,445,93,2,high,6.550398242,954,3.225105088,1.497665477
IG0000103,8,creator,15986,image,Technology,Explore,0,19-12-2024 06:00,19-12-2024,6,Thursday,270,0,9,37,3989,6237,105,106,12,viral,7.921784908,316,0.656824722,1.563549762
IG0000104,3,creator,10018,image,Technology,Profile,0,16-11-2025 15:00,16-11-2025,15,Sunday,161,4,5,34,6335,8249,905,106,8,medium,3.220205209,204,9.033739269,1.302131018
IG0000105,1,creator,9461,reel,Beauty,Reels Feed,0,26-01-2025 07:00,26-01-2025,7,Sunday,78,1,4,0,1232,1958,934,124,8,high,6.737012987,83,9.872106543,1.589285714
IG0000106,3,creator,10018,image,Music,Profile,0,11-03-2025 13:00,11-03-2025,13,Tuesday,266,10,10,0,5472,8490,205,112,7,medium,5.226608187,286,2.04631663,1.551535088
IG0000107,5,creator,10739,carousel,Food,External,0,29-06-2025 18:00,29-06-2025,18,Sunday,388,14,21,61,26032,40087,975,109,2,low,1.859250154,484,9.07905764,1.539912415
IG0000108,15,creator,8167,image,Beauty,Hashtags,0,02-06-2025 17:00,02-06-2025,17,Monday,38,2,1,5,3266,4989,442,128,9,low,1.408450704,46,5.412023999,1.527556644
IG0000109,14,creator,3083,image,Lifestyle,Home Feed,0,26-06-2025 07:00,26-06-2025,7,Thursday,714,23,24,95,12067,13440,170,123,6,viral,7.093726693,856,5.514109633,1.113781387
IG0000110,3,creator,10018,reel,Food,Home Feed,0,28-03-2025 15:00,28-03-2025,15,Friday,182,5,9,21,3552,5553,842,122,7,medium,6.109234234,217,8.404871232,1.563344595
IG0000111,1,creator,9461,image,Fashion,External,1,07-04-2025 08:00,07-04-2025,8,Monday,111,3,6,15,2110,2690,724,130,9,high,6.398104265,135,7.652468027,1.274881517
IG0000112,5,creator,10739,image,Food,Hashtags,1,15-08-2025 00:00,15-08-2025,0,Friday,0,3,1,17,1957,3043,109,111,9,high,1.073071027,21,1.014992085,1.554931017
IG0000113,14,creator,3083,image,Music,Explore,0,30-04-2025 07:00,30-04-2025,7,Wednesday,409,15,27,75,10574,14101,41,119,7,medium,4.974465671,526,1.3298735,1.333554
IG0000114,7,brand,3551,image,Food,Explore,0,05-03-2025 06:00,05-03-2025,6,Wednesday,666,11,36,96,9733,15371,71,126,7,high,8.311928491,809,1.999436778,1.579266413
IG0000115,9,creator,6916,image,Fashion,Explore,0,12-05-2025 07:00,12-05-2025,7,Monday,92,3,3,23,5488,8527,151,136,11,low,2.204810496,121,2.183342973,1.553753644
IG0000116,15,creator,8167,reel,Music,Reels Feed,0,05-02-2025 12:00,05-02-2025,12,Wednesday,118,5,4,18,3701,5060,444,112,8,medium,3.917860038,145,5.436512795,1.367198055
IG0000117,15,creator,8167,image,Photography,External,0,29-07-2025 02:00,29-07-2025,2,Tuesday,625,20,33,98,8958,12620,964,124,9,viral,8.662647912,776,11.80359985,1.408796606
IG0000118,10,creator,4542,carousel,Technology,Reels Feed,0,30-04-2025 01:00,30-04-2025,1,Wednesday,237,9,9,37,4622,6992,95,128,7,high,6.317611424,292,2.091589608,1.512765037
IG0000119,13,creator,5824,image,Technology,External,1,10-03-2025 12:00,10-03-2025,12,Monday,117,3,7,15,4645,6192,495,123,10,medium,3.057050592,142,8.499313187,1.333046286
IG0000120,19,brand,3447,reel,Comedy,Reels Feed,0,20-04-2025 03:00,20-04-2025,3,Sunday,20,0,1,4,1309,1496,881,118,6,low,1.909854851,25,25.55845663,1.142857143
IG0000121,7,creator,3551,image,Photography,Reels Feed,0,24-06-2025 22:00,24-06-2025,22,Tuesday,558,16,26,92,8359,10904,88,131,5,viral,8.278502213,692,2.478175162,1.304462256
IG0000122,17,brand,15923,carousel,Photography,Hashtags,1,22-12-2024 01:00,22-12-2024,1,Sunday,191,9,10,24,2974,4239,291,126,10,high,7.868190989,234,1.827545061,1.42535306
IG0000123,20,creator,31095,carousel,Food,Reels Feed,1,30-10-2025 22:00,30-10-2025,22,Thursday,127,4,6,25,6432,8126,196,129,8,low,2.518656716,162,0.630326419,1.263370647
IG0000124,4,creator,4972,image,Technology,Reels Feed,0,10-10-2025 06:00,10-10-2025,6,Friday,164,5,8,26,4860,6617,762,108,6,medium,4.176954733,203,15.32582462,1.361522634
IG0000125,5,brand,10739,carousel,Fashion,Reels Feed,0,14-06-2025 08:00,14-06-2025,8,Saturday,89,6,3,8,5619,8609,313,121,11,low,1.886456665,106,2.914610299,1.532123154
IG0000126,7,creator,3551,reel,Fitness,Explore,1,24-09-2025 18:00,24-09-2025,18,Wednesday,129,4,7,16,5575,7061,817,123,8,low,2.798206278,156,23.00760349,1.266547085
IG0000127,13,creator,5824,image,Fitness,Explore,0,07-06-2025 08:00,07-06-2025,8,Saturday,114,3,9,25,1452,2227,755,112,10,viral,10.39944904,151,12.9635989,1.533746556
IG0000128,15,creator,8167,reel,Music,Home Feed,0,13-07-2025 22:00,13-07-2025,22,Sunday,155,4,7,21,2005,2740,594,119,3,viral,9.326683292,187,7.273172524,1.366583541
IG0000129,11,creator,9044,image,Technology,Reels Feed,0,13-12-2024 10:00,13-12-2024,10,Friday,196,11,14,31,2945,3626,314,93,11,viral,8.556876061,252,3.471915082,1.231239389
IG0000130,4,creator,4972,image,Technology,Hashtags,0,14-08-2025 12:00,14-08-2025,12,Thursday,158,4,10,15,5887,7778,622,110,10,low,3.176490572,187,12.51005632,1.321216239
IG0000131,13,brand,5824,image,Fitness,Profile,0,24-11-2024 07:00,24-11-2024,7,Sunday,174,9,7,23,4343,6653,423,126,6,medium,4.904443933,213,7.263049451,1.531890398
IG0000132,7,creator,3551,reel,Technology,Home Feed,1,02-10-2025 13:00,02-10-2025,13,Thursday,854,26,34,115,19172,25478,308,112,4,high,5.36720217,1029,8.673613067,1.328917171
IG0000133,19,brand,3447,image,Food,External,0,29-09-2025 18:00,29-09-2025,18,Monday,25,1,0,2,2120,2870,998,122,8,low,1.320754717,28,28.9527125,1.353773585
IG0000134,2,creator,22291,carousel,Lifestyle,Explore,0,29-04-2025 04:00,29-04-2025,4,Tuesday,680,18,18,102,14338,20743,132,142,7,medium,5.705119263,818,0.592167242,1.446715023
IG0000135,10,creator,4542,carousel,Travel,Reels Feed,0,04-02-2025 15:00,04-02-2025,15,Tuesday,164,3,9,23,10093,15222,934,114,13,low,1.971663529,199,20.56362836,1.508173982
IG0000136,13,creator,5824,reel,Photography,Explore,1,10-04-2025 06:00,10-04-2025,6,Thursday,256,6,12,38,5557,6432,980,115,7,high,5.61454022,312,16.82692308,1.157459061
IG0000137,6,creator,10034,reel,Comedy,Profile,0,07-12-2024 23:00,07-12-2024,23,Saturday,77,2,6,15,2312,3303,473,128,8,medium,4.325259516,100,4.713972494,1.428633218
IG0000138,12,creator,13798,reel,Music,External,0,11-06-2025 13:00,11-06-2025,13,Wednesday,321,8,15,60,6987,10929,372,126,8,medium,5.782166881,404,2.696042905,1.56419064
IG0000139,12,creator,13798,reel,Lifestyle,Home Feed,0,31-08-2025 21:00,31-08-2025,21,Sunday,200,6,0,20,2903,4268,189,120,12,high,7.785049948,226,1.369763734,1.470203238
IG0000140,20,brand,31095,image,Fitness,Hashtags,0,21-08-2025 21:00,21-08-2025,21,Thursday,47,4,3,12,1135,1534,337,133,7,high,5.814977974,66,1.083775527,1.35154185
IG0000141,11,brand,9044,image,Photography,Hashtags,0,20-01-2025 04:00,20-01-2025,4,Monday,86,3,6,20,3631,4427,622,118,6,medium,3.167171578,115,6.877487837,1.219223354
IG0000142,7,brand,3551,reel,Technology,Hashtags,0,25-04-2025 19:00,25-04-2025,19,Friday,57,1,5,8,3353,4534,144,128,7,low,2.11750671,71,4.05519572,1.352221891
IG0000143,1,creator,9461,reel,Comedy,Hashtags,0,25-05-2025 15:00,25-05-2025,15,Sunday,181,6,11,27,10017,11580,738,129,2,low,2.246181491,225,7.800443928,1.156034741
